Name,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"BUTTER,WITH SALT",Vegetarian,Fats and Edible Oils,81.11,0.06,0.85,733.63
"BUTTER,WHIPPED,WITH SALT",Vegetarian,Fats and Edible Oils,81.11,0.06,0.85,733.63
"BUTTER OIL,ANHYDROUS",Vegetarian,Fats and Edible Oils,99.48,0,0.28,896.44
"CHEESE,BLUE",Vegetarian,Milk and Milk Products,28.74,2.34,21.4,353.62
"CHEESE,BRICK",Vegetarian,Milk and Milk Products,29.68,2.79,23.24,371.24
"CHEESE,BRIE",Vegetarian,Milk and Milk Products,27.68,0.45,20.75,333.92
"CHEESE,CAMEMBERT",Vegetarian,Milk and Milk Products,24.26,0.46,19.8,299.38
"CHEESE,CARAWAY",Vegetarian,Milk and Milk Products,29.2,3.06,25.18,375.76
"CHEESE,CHEDDAR",Vegetarian,Milk and Milk Products,33.14,1.28,24.9,402.98
"CHEESE,CHESHIRE",Vegetarian,Milk and Milk Products,30.6,4.78,23.37,388
"CHEESE,COLBY",Vegetarian,Milk and Milk Products,32.11,2.57,23.76,394.31
"CHEESE,COTTAGE,CRMD,LRG OR SML CURD",Vegetarian,Milk and Milk Products,4.51,2.68,12.49,101.27
"CHEESE,COTTAGE,CRMD,W/FRUIT",Vegetarian,Milk and Milk Products,3.4,13.3,9.9,123.4
"CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD",Vegetarian,Milk and Milk Products,0.42,1.85,17.27,80.26
"CHEESE,COTTAGE,LOWFAT,2% MILKFAT",Vegetarian,Milk and Milk Products,1.93,3.63,13.74,86.85
"CHEESE,COTTAGE,LOWFAT,1% MILKFAT",Vegetarian,Milk and Milk Products,1.02,2.72,12.39,69.62
"CHEESE,CREAM",Vegetarian,Milk and Milk Products,34.87,2.66,7.55,354.67
"CHEESE,EDAM",Vegetarian,Milk and Milk Products,27.8,1.43,24.99,355.88
"CHEESE,FETA",Vegetarian,Milk and Milk Products,21.28,4.09,14.21,264.72
"CHEESE,FONTINA",Vegetarian,Milk and Milk Products,31.14,1.55,25.6,388.86
"CHEESE,GJETOST",Vegetarian,Milk and Milk Products,29.51,42.65,9.65,474.79
"CHEESE,GOUDA",Vegetarian,Milk and Milk Products,27.44,2.22,24.94,355.6
"CHEESE,GRUYERE",Vegetarian,Milk and Milk Products,32.34,0.36,29.81,411.74
"CHEESE,LIMBURGER",Vegetarian,Milk and Milk Products,27.25,0.49,20.05,327.41
"CHEESE,MONTEREY",Vegetarian,Milk and Milk Products,30.28,0.68,24.48,373.16
"CHEESE,MOZZARELLA,WHL MILK",Vegetarian,Milk and Milk Products,21.6,2.22,19.42,280.96
"CHEESE,MOZZARELLA,WHL MILK,LO MOIST",Vegetarian,Milk and Milk Products,24.64,2.47,21.6,318.04
"CHEESE,MOZZARELLA,PART SKIM MILK",Vegetarian,Milk and Milk Products,15.92,2.77,24.26,251.4
"CHEESE,MOZZARELLA,PART SKIM MILK,LO MOIST",Vegetarian,Milk and Milk Products,17.12,3.14,27.47,276.52
"CHEESE,MUENSTER",Vegetarian,Milk and Milk Products,30.04,1.12,23.41,368.48
"CHEESE,NEUFCHATEL",Vegetarian,Milk and Milk Products,23.43,2.94,9.96,262.47
"CHEESE,PARMESAN,GRATED",Vegetarian,Milk and Milk Products,30.02,3.74,41.56,451.38
"CHEESE,PARMESAN,HARD",Vegetarian,Milk and Milk Products,25.83,3.22,35.75,388.35
"CHEESE,PORT DE SALUT",Vegetarian,Milk and Milk Products,28.2,0.57,23.78,351.2
"CHEESE,PROVOLONE",Vegetarian,Milk and Milk Products,26.62,2.14,25.58,350.46
"CHEESE,RICOTTA,WHOLE MILK",Vegetarian,Milk and Milk Products,12.98,3.04,11.26,174.02
"CHEESE,RICOTTA,PART SKIM MILK",Vegetarian,Milk and Milk Products,7.91,5.14,11.39,137.31
"CHEESE,ROMANO",Vegetarian,Milk and Milk Products,26.94,3.63,31.8,384.18
"CHEESE,ROQUEFORT",Vegetarian,Milk and Milk Products,30.64,2,21.54,369.92
"CHEESE,SWISS",Vegetarian,Milk and Milk Products,27.45,3.38,28.43,374.29
"CHEESE,TILSIT",Vegetarian,Milk and Milk Products,25.98,1.88,24.41,338.98
"CHEESE,PAST PROCESS,AMERICAN,W/DI NA PO4",Vegetarian,Milk and Milk Products,31.25,1.6,22.15,376.25
"CHEESE,PAST PROCESS,PIMENTO",Vegetarian,Milk and Milk Products,31.2,1.73,22.13,376.24
"CHEESE,PAST PROCESS,SWISS,W/DI NA PO4",Vegetarian,Milk and Milk Products,25.01,2.1,24.73,332.41
"CHEESE FD,COLD PK,AMERICAN",Vegetarian,Milk and Milk Products,24.46,8.32,19.66,332.06
"CHEESE FD,PAST PROCESS,AMERICAN,WO/DI NA PO4",Vegetarian,Milk and Milk Products,24.6,7.29,19.61,329
"CHEESE FD,PAST PROCESS,SWISS",Vegetarian,Milk and Milk Products,24.14,4.5,21.92,322.94
"CHEESE SPRD,PAST PROCESS,AMERICAN,WO/DI NA PO4",Vegetarian,Milk and Milk Products,21.23,8.73,16.41,291.63
"CREAM,FLUID,HALF AND HALF",Vegetarian,Milk and Milk Products,11.5,4.3,2.96,132.54
"CREAM,FLUID,LT (COFFEE CRM OR TABLE CRM)",Vegetarian,Milk and Milk Products,19.31,3.66,2.7,199.23
"CREAM,FLUID,LT WHIPPING",Vegetarian,Milk and Milk Products,30.91,2.96,2.17,298.71
"CREAM,FLUID,HVY WHIPPING",Vegetarian,Milk and Milk Products,37,2.79,2.05,352.36
"CREAM,WHIPPED,CRM TOPPING,PRESSURIZED",Vegetarian,Milk and Milk Products,22.22,12.49,3.2,262.74
"CREAM,SOUR,RED FAT,CULTURED",Vegetarian,Milk and Milk Products,12,4.26,2.94,136.8
"CREAM,SOUR,CULTURED",Vegetarian,Milk and Milk Products,20.96,4.27,3.16,218.36
EGGNOG,eggetarian,Beverages-Non Alchoholic,7.48,13.54,3.81,136.72
"SOUR DRSNG,NON-BUTTERFAT,CULTURED,FILLED CREAM-TYPE",Vegetarian,Miscellaneous,16.57,4.68,3.25,180.85
"MILK,FILLED,FLUID,W/BLEND OF HYDR VEG OILS",Vegetarian,Milk and Milk Products,3.46,4.74,3.33,63.42
"MILK,FILLED,FLUID,W/LAURIC ACID OIL",Vegetarian,Milk and Milk Products,3.4,4.74,3.33,62.88
"CREAM SUB,LIQ,W/HYDR VEG OIL&SOY PROT",Vegetarian,Milk and Milk Products,9.97,11.38,1,139.25
"CREAM SUB,LIQ,W/LAURIC ACID OIL&NA CASEINATE",Vegetarian,Milk and Milk Products,9.97,11.38,1,139.25
"CREAM SUBSTITUTE,POWDERED",Vegetarian,Milk and Milk Products,35.48,54.88,4.79,558
"DESSERT TOPPING,POWDERED",Vegetarian,Miscellaneous,39.92,52.54,4.9,589.04
"DESSERT TOPPING,PDR,1.5 OZ PREP W/1/2 CUP MILK",Vegetarian,Miscellaneous,12.41,16.53,3.6,192.21
"DESSERT TOPPING,PRESSURIZED",Vegetarian,Miscellaneous,22.3,16.07,0.98,268.9
"DESSERT TOPPING,SEMI SOLIDFROZEN",Vegetarian,Miscellaneous,25.31,23.05,1.25,324.99
"SOUR CRM,IMITN,CULTURED",Vegetarian,Milk and Milk Products,19.52,6.63,2.4,211.8
"MILK SUBSTITUTES,FLUID W/HYDR VEG OILS",Vegetarian,Beverages-Non Alchoholic,3.41,6.16,1.75,62.33
"MILK SUBSTITUTES,FLUID,W/LAURIC ACID OIL",Vegetarian,Beverages-Non Alchoholic,3.41,6.16,1.75,62.33
"MILK,FLUID,3.25% MILKFAT",Vegetarian,Milk and Milk Products,3.34,4.66,3.29,61.86
"MILK,PRODUCER,FLUID,3.7% MILKFAT",Vegetarian,Milk and Milk Products,3.66,4.65,3.28,64.66
"MILK,RED FAT,FLUID,2% MILKFAT,W/ VIT A",Vegetarian,Milk and Milk Products,1.92,4.8,3.33,49.8
"MILK,RED FAT,FLUID,2% MILKFAT,W/ NONFAT MILK SOL&VIT A",Vegetarian,Milk and Milk Products,1.92,4.97,3.48,51.08
"MILK,RED FAT,FLUID,2% MILKFAT,PROT FORT,W/ VIT A",Vegetarian,Milk and Milk Products,1.98,5.49,3.95,55.58
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ VIT A",Vegetarian,Milk and Milk Products,1.06,4.78,3.29,41.82
"MILK,LOWFAT,FLUID,1% MILKFAT,W/ NONFAT MILK SOL&VIT A",Vegetarian,Milk and Milk Products,0.97,4.97,3.48,42.53
"MILK,LOWFAT,FLUID,1% MILKFAT,PROT FORT,W/ VIT A",Vegetarian,Milk and Milk Products,1.17,5.52,3.93,48.33
"MILK,NONFAT,FLUID,W/ VIT A (FAT FREE OR SKIM)",Vegetarian,Milk and Milk Products,0.18,4.85,3.41,34.66
"MILK,NONFAT,FLUID,W/ NONFAT MILK SOL&VIT A (FAT FREE/SKIM)",Vegetarian,Milk and Milk Products,0.25,5.02,3.57,36.61
"MILK,NONFAT,FLUID,PROT FORT,W/ VIT A (FAT FREE/SKIM)",Vegetarian,Milk and Milk Products,0.25,5.56,3.96,40.33
"MILK,BTTRMLK,FLUID,CULTURED,LOWFAT",Vegetarian,Milk and Milk Products,0.88,4.79,3.31,40.32
"MILK,LOW SODIUM,FLUID",Vegetarian,Milk and Milk Products,3.46,4.46,3.1,61.38
"MILK,DRY,WHOLE",Vegetarian,Milk and Milk Products,26.71,38.42,26.32,499.35
"MILK,DRY,NONFAT,REG,WO/ VIT A",Vegetarian,Milk and Milk Products,0.77,51.98,36.16,359.49
"MILK,DRY,NONFAT,INST,W/ VIT A",Vegetarian,Milk and Milk Products,0.72,52.19,35.1,355.64
"MILK,DRY,NONFAT,CA RED",Vegetarian,Milk and Milk Products,0.2,51.8,35.5,351
"MILK,BUTTERMILK,DRIED",Vegetarian,Milk and Milk Products,5.78,49,34.3,385.22
"MILK,CANNED,CONDENSED,SWTND",Vegetarian,Milk and Milk Products,8.7,54.4,7.91,327.54
"MILK,CANNED,EVAP,WO/ VIT A",Vegetarian,Milk and Milk Products,7.56,10.04,6.81,135.44
"MILK,CANNED,EVAP,NONFAT",Vegetarian,Milk and Milk Products,0.2,11.35,7.55,77.4
"MILK,CHOC,FLUID,COMMERCIAL,",Vegetarian,Milk and Milk Products,3.39,10.34,3.17,84.55
"MILK,CHOC,FLUID,COMMERCIAL,RED FAT",Vegetarian,Milk and Milk Products,2,10.4,3.21,72.44
"MILK,CHOC,FLUID,COMMERCIAL,LOWFAT",Vegetarian,Milk and Milk Products,1,10.44,3.24,63.72
"MILK,CHOC BEV,HOT COCOA,HOMEMADE",Vegetarian,Milk and Milk Products,2.33,11.79,3.91,83.77
"MILK,GOAT,FLUID",Vegetarian,Milk and Milk Products,4.14,4.45,3.56,69.3
"MILK,HUMAN,MATURE,FLUID",Vegetarian,Milk and Milk Products,4.38,6.89,1.03,71.1
"MILK,INDIAN BUFFALO,FLUID",Vegetarian,Milk and Milk Products,6.89,5.18,3.75,97.73
"MILK,SHEEP,FLUID",Vegetarian,Milk and Milk Products,7,5.36,5.98,108.36
"MILK SHAKES,THICK CHOC",Vegetarian,Milk and Milk Products,2.7,21.15,3.05,121.1
"MILK SHAKES,THICK VANILLA",Vegetarian,Milk and Milk Products,3.03,17.75,3.86,113.71
"WHEY,ACID,FLUID",Vegetarian,Milk and Milk Products,0.09,5.12,0.76,24.33
"WHEY,ACID,DRIED",Vegetarian,Milk and Milk Products,0.54,73.45,11.73,345.58
"WHEY,SWEET,FLUID",Vegetarian,Milk and Milk Products,0.36,5.14,0.85,27.2
"WHEY,SWEET,DRIED",Vegetarian,Milk and Milk Products,1.07,74.46,12.93,359.19
"YOGURT,PLN,WHL MILK,8 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,3.25,4.66,3.47,61.77
"YOGURT,PLN,LOFAT,12 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,1.55,7.04,5.25,63.11
"YOGURT,PLN,SKIM MILK,13 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,0.18,7.68,5.73,55.26
"YOGURT,VANILLA,LOFAT,11 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,1.25,13.8,4.93,86.17
"YOGURT,FRUIT,LOFAT,9 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,1.15,18.64,3.98,100.83
"YOGURT,FRUIT,LOFAT,10 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,1.08,19.05,4.37,103.4
"YOGURT,FRUIT,LOFAT,11 GRAMS PROT PER 8 OZ",Vegetarian,Milk and Milk Products,1.41,18.6,4.86,106.53
"EGG,WHOLE,RAW,FRESH",eggetarian,Poultry products,10.02,1.22,12.49,145.02
"EGG,WHITE,RAW,FRESH",eggetarian,Poultry products,0,1.03,10.52,46.2
"EGG,YOLK,RAW,FRESH",eggetarian,Poultry products,30.87,1.78,16.76,351.99
"EGG,YOLK,RAW,FROZEN",eggetarian,Poultry products,25.6,1.15,15.5,297
"EGG,YOLK,RAWFROZEN,SUGARED",eggetarian,Poultry products,22.75,10.8,13.8,303.15
"EGG,WHOLE,COOKED,FRIED",eggetarian,Poultry products,15,1.36,13.54,194.6
"EGG,WHL,COOKED,HARD-BOILED",eggetarian,Poultry products,10.61,1.12,12.58,150.29
"EGG,WHOLE,COOKED,OMELET",eggetarian,Poultry products,11.44,1.04,10.33,148.44
"EGG,WHOLE,COOKED,POACHED",eggetarian,Poultry products,9.98,1.22,12.44,144.46
"EGG,WHL,COOKED,SCRMBLD",eggetarian,Poultry products,12.21,2.2,11.09,163.05
"EGG,WHOLE,DRIED",eggetarian,Poultry products,40.95,4.95,47.35,577.75
"EGG,WHL,DRIED,STABILIZED,GLUCOSE RED",eggetarian,Poultry products,43.95,2.38,48.17,597.75
"EGG,WHITE,DRIED,FLAKES,GLUCOSE RED",eggetarian,Poultry products,0.04,4.17,76.92,324.72
"EGG,WHITE,DRIED,PDR,GLUCOSE RED",eggetarian,Poultry products,0.04,4.47,82.4,347.84
"EGG,YOLK,DRIED",eggetarian,Poultry products,55.8,3.6,34.25,653.6
"EGG,DUCK,WHOLE,FRESH,RAW",eggetarian,Poultry products,13.77,1.45,12.81,180.97
"EGG,GOOSE,WHOLE,FRESH,RAW",eggetarian,Poultry products,13.27,1.35,13.87,180.31
"EGG,QUAIL,WHOLE,FRESH,RAW",eggetarian,Poultry products,11.09,0.41,13.05,153.65
"EGG,TURKEY,WHL,FRSH,RAW",eggetarian,Poultry products,11.88,1.15,13.68,166.24
"EGG SUBSTITUTE,FROZEN",eggetarian,Poultry products,11.11,3.2,11.29,157.95
"EGG SUBSTITUTE,LIQUID",eggetarian,Poultry products,3.31,0.64,12,80.35
"EGG SUBSTITUTE,POWDER",eggetarian,Poultry products,13,21.8,55.5,426.2
"BUTTER,WITHOUT SALT",Vegetarian,Fats and Edible Oils,81.11,0.06,0.85,733.63
