Food Item,Type,Category,Fats,Carbohydrates,Protein,Total Calories
"CEREALS READY TO EAT,QUAKER,CAP'N CRUNCH",vegetarian,Cereals,5.06,85.35,5,406.94
"CEREALS READY TO EAT,QUAKER,CAP'N CRUNCH'S CRUNCHBIES",vegetarian,Cereals,4.91,85.63,4.83,406.03
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S NUT&HONEY CRUNCH",vegetarian,Cereals,4.5,83.6,7.3,404.1
"CEREALS READY TO EAT,QUAKER,SWT CRUNCH/QUISP",vegetarian,Cereals,5.51,85.08,4.99,409.87
"CEREALS READY TO EAT,GENERAL MILLS,TRIX",vegetarian,Cereals,5.69,86.8,3.18,411.13
"CEREALS READY TO EAT,WAFFELOS,(WHEAT W/OTHER GRAINS)",vegetarian,Cereals,4.2,86.3,5.6,405.4
"CEREALS READY TO EAT,GENERAL MILLS,FRENCH TOAST CRUNCH",vegetarian,Cereals,4.08,87.41,3.5,400.36
"CEREALS READY TO EAT,KELLOGG,TEMPTATIONS,FRENCH VANILLA ALMOND",vegetarian,Cereals,5.5,82.4,7.1,407.5
"CEREALS READY TO EAT,KELLOGG,TEMPTATIONS,HONEY RSTD PECAN",vegetarian,Cereals,7.5,81.4,6,417.1
"CEREALS READY TO EAT,QUAKER,HONEY GRAHAM OH!S",vegetarian,Cereals,7.07,84.24,5,420.59
"CEREALS READY TO EAT,GENERAL MILLS,APPL CINN CHEERIOS",vegetarian,Cereals,5.44,83.5,6.2,407.76
"CEREALS READY TO EAT,GENERAL MILLS,S'MORES GRAHAMS",vegetarian,Cereals,4,85.3,5.59,399.56
"CEREALS READY TO EAT,KELLOGG,KELLOGG'S RICE KRISPIES TREATS CRL",vegetarian,Cereals,5.3,85.5,3.7,404.5
"CEREALS READY TO EAT,QUAKER,QUAKER CORN BLASTS",vegetarian,Cereals,5.77,84.95,4.29,408.89
"CEREALS READY TO EAT,QUAKER,QUAKER MARSHMLLW SAFARI",vegetarian,Cereals,5.02,84.27,5.79,405.42
"CEREALS READY TO EAT,GENERAL MILLS,BETTY CROCKER CINN STREUSEL",vegetarian,Cereals,4.33,83.89,6.57,400.81
"CEREALS READY TO EAT,KRAFT,POST COCOA PEBBLES CRL",vegetarian,Cereals,4.2,87.9,3.5,403.4
"CEREALS READY TO EAT,KRAFT,POST FRSTD ALPHA-BITS CRL",vegetarian,Cereals,4.1,83.5,8.5,404.9
"CEREALS READY TO EAT,KRAFT,POST HONEY BUNCHES OF OATS HONEY RSTD CRL",vegetarian,Cereals,5.5,81.9,7.1,405.5
"CEREALS READY TO EAT,MALT-O-MEAL,COLOSSAL CRUNCH",vegetarian,Cereals,5.8,85.63,3.73,409.64
"CEREALS READY TO EAT,MALT-O-MEAL,BY COLOSSAL CRUNCH",vegetarian,Cereals,5.6,85.73,4,409.32
